,Date,Index_Symbol,Index_Name,Index_Type,Index_Currency,Index_Close,Index_Component_Count,Index_Mcap_Units,Index_Divisor,Internal_Number,ISIN,SEDOL,RIC,CUSIP,Instrument_Name,Country,Currency,Exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor,Close_unadjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight
60,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,POW,CA7392391016,2697701,POW.TO,,Power Corp. of Canada,CA,CAD,Toronto Stock Exchange,30301010,,,1,299040,38.77,0.6783571,11593781,7864724,0.78032
61,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,425305,DK0010244425,4253059,MAERSKa.CO,,A P MOLLER-MAERSK A,DK,DKK,NASDAQ  Copenhagen,50206030,,,1,6584,8745,0.1341013,57577080,7721161,0.76607
62,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,274642,CA56501R1064,2492519,MFC.TO,,Manulife Financial Corp.,CA,CAD,Toronto Stock Exchange,30301010,,,1,346156,32.6,0.6783571,11284686,7655047,0.75951
63,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,US506X,US1746101054,BQRX1X3,CFG.N,,CITIZENS FINANCIAL GROUP,US,USD,NYSE,30101010,,,1,245776,33.68,0.9186533,8277736,7604369,0.75449
64,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,BMO,CA0636711016,2076009,BMO.TO,,Bank of Montreal,CA,CAD,Toronto Stock Exchange,30101010,,,1,87478,127.17,0.6783571,11124577,7546436,0.74874
65,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,641440,JP3768600003,6414401,1808.T,,Haseko Corp.,JP,JPY,Tokyo Stock Exchange,40202010,,,1,654087,1871,0.0061597,1223796777,7538221,0.74792
66,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,TDpD,CA8911605092,2897222,TD.TO,,Toronto-Dominion Bank,CA,CAD,Toronto Stock Exchange,30101010,,,1,137588,80.23,0.6783571,11038685,7488171,0.74296
67,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,499187,CH0011075394,5983816,ZURN.S,,ZURICH INSURANCE GROUP,CH,CHF,SIX Swiss Exchange,30302010,,,1,14678,485.5,1.0364844,7126169,7386163,0.73284
68,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,IP,US4601461035,2465254,IP.N,,International Paper Co.,US,USD,NYSE,55101015,,,1,226934,34.94,0.9186533,7929074,7284070,0.72271
69,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,CAG,US2058871029,2215460,CAG.N,,Conagra Brands Inc.,US,USD,NYSE,45102020,,,1,279112,28.22,0.9186533,7876541,7235810,0.71792
70,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,UPC,US7591EP1005,B01R311,RF.N,,Regions Financial Corp.,US,USD,NYSE,30101010,,,1,410208,19.18,0.9186533,7867789,7227771,0.71712
71,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,664256,JP3381000003,6642569,5401.T,,NIPPON STEEL,JP,JPY,Tokyo Stock Exchange,55102010,,,1,323090,3627,0.0061597,1171847430,7218229,0.71617
72,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,US20RF,NL0009434992,B3SPXZ3,LYB.N,,LYONDELLBASELL INDUSTRIES,US,USD,NYSE,55201020,,,1,78366,99.85,0.9186533,7824845,7188320,0.71321
73,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,654379,JP3386030005,6543792,5411.T,,JFE Holdings Inc.,JP,JPY,Tokyo Stock Exchange,55102010,,,1,462963,2489.5,0.0061597,1152546389,7099340,0.70438
74,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,PXD,US7237871071,2690830,PXD.N,,Pioneer Natural Resources Co.,US,USD,NYSE,60101010,,,1,29991,251.95,0.9186533,7556232,6941558,0.68872
75,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,F,US3453708600,2615468,F.N,,Ford Motor Co.,US,USD,NYSE,40101020,,,1,604855,12.18,0.9186533,7367134,6767842,0.67149
76,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,US40VL,US25278X1090,B7Y8YR3,FANG.OQ,,DIAMONDBACK ENERGY,US,USD,NASDAQ,60101010,,,1,37874,190.06,0.9186533,7198332,6612772,0.6561
77,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,256612,CA8667961053,2566124,SLF.TO,,Sun Life Financial Inc.,CA,CAD,Toronto Stock Exchange,30301010,,,1,131084,73.86,0.6783571,9681864,6567761,0.65164
78,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,659758,JP3362700001,6597584,9104.T,,Mitsui O.S.K. Lines Ltd.,JP,JPY,Tokyo Stock Exchange,50206030,,,1,220883,4819,0.0061597,1064435177,6556601,0.65053
79,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,STB,US9029733048,2736035,USB.N,,U.S. Bancorp,US,USD,NYSE,30101010,,,1,167735,42.47,0.9186533,7123705,6544216,0.6493
80,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,HBAN,US4461501045,2445966,HBAN.OQ,,Huntington Bancshares Inc.,US,USD,NASDAQ,30101010,,,1,546901,13.02,0.9186533,7120651,6541410,0.64902
81,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,BBY,US0865161014,2094670,BBY.N,,Best Buy Co. Inc.,US,USD,NYSE,40401030,,,1,90984,77.13,0.9186533,7017596,6446738,0.63963
