Date;Next_Trading_Day;Index_Symbol;Internal_Key;ISIN;Company_Name;RIC_Code;BBG_Code;SEDOL;Country;Currency;Exchange;Industry;Supersector;Sector;Subsector;Shares;Free_Float;Close_Local;Close_EUR;Close_USD;Close_GBP;Close_JPY;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Event_next_trading_day;New_Internal_Key;New_ISIN;New_Company_Name;New_RIC_Code;New_BBG_Code;New_SEDOL;New_Country;New_Currency;New_Exchange;New_Industry;New_Supersector;New_Sector;New_Subsector;New_Shares;New_Free_Float;Close_adjusted_local;Close_adjusted_EUR;Close_adjusted_USD;Close_adjusted_GBP;Close_adjusted_JPY;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;
2024-03-25;2024-03-26;SDGP;PXD;US7237871071;Pioneer Natural Resources Co.;PXD.N;PXD UN Equity;2690830;US;USD;NYSE;60;6010;601010;60101010;;;258.21;238.2560734;258.2100195;204.2092805;39099.453699;;;;;;;;;;;0;PXD;US7237871071;Pioneer Natural Resources Co.;PXD.N;PXD UN Equity;2690830;US;USD;NYSE;60;6010;601010;60101010;;;258.21;238.2560734;258.2100195;204.2092805;39099.453699;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;656387;SG1M77906915;CAPITALAND ASCENDAS REIT;CAPD.SI;CLAR SP Equity;6563875;SG;SGD;Singapore Exchange;35;3510;351020;35102000;;;2.74;1.8781922;2.0354908;1.6097985;308.2242056;;;;;;;;;;;0;656387;SG1M77906915;CAPITALAND ASCENDAS REIT;CAPD.SI;CLAR SP Equity;6563875;SG;SGD;Singapore Exchange;35;3510;351020;35102000;;;2.74;1.8781922;2.0354908;1.6097985;308.2242056;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;UPC;US7591EP1005;Regions Financial Corp.;RF.N;RF UN Equity;B01R311;US;USD;NYSE;30;3010;301010;30101010;;;19.95;18.4083059;19.9500015;15.777759;3020.9290951;;;;;;;;;;;0;UPC;US7591EP1005;Regions Financial Corp.;RF.N;RF UN Equity;B01R311;US;USD;NYSE;30;3010;301010;30101010;;;19.95;18.4083059;19.9500015;15.777759;3020.9290951;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;NA;CA6330671034;National Bank of Canada;NA.TO;NA CN Equity;2077303;CA;CAD;Toronto Stock Exchange;30;3010;301010;30101010;;;114.6;77.8585639;84.3792186;66.7325751;12777.1236672;;;;;;;;;;;0;NA;CA6330671034;National Bank of Canada;NA.TO;NA CN Equity;2077303;CA;CAD;Toronto Stock Exchange;30;3010;301010;30101010;;;114.6;77.8585639;84.3792186;66.7325751;12777.1236672;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;BMO;CA0636711016;Bank of Montreal;BMO.TO;BMO CN Equity;2076009;CA;CAD;Toronto Stock Exchange;30;3010;301010;30101010;;;129.96;88.2940572;95.6886845;75.6768364;14489.6596008;;;;;;;;;;;0;BMO;CA0636711016;Bank of Montreal;BMO.TO;BMO CN Equity;2076009;CA;CAD;Toronto Stock Exchange;30;3010;301010;30101010;;;129.96;88.2940572;95.6886845;75.6768364;14489.6596008;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;499187;CH0011075394;ZURICH INSURANCE GROUP;ZURN.S;ZURN SW Equity;5983816;CH;CHF;SIX Swiss Exchange;30;3030;303020;30302010;;;485.2;498.4078718;540.1495311;427.1853869;81792.1458563;;;;;;;;;;;0;499187;CH0011075394;ZURICH INSURANCE GROUP;ZURN.S;ZURN SW Equity;5983816;CH;CHF;SIX Swiss Exchange;30;3030;303020;30302010;;;485.2;498.4078718;540.1495311;427.1853869;81792.1458563;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;BEL;US92343V1044;Verizon Communications Inc.;VZ.N;VZ UN Equity;2090571;US;USD;NYSE;15;1510;151020;15102015;;;40.87;37.7116522;40.8700031;32.3226571;6188.7404508;;;;;;;;;;;0;BEL;US92343V1044;Verizon Communications Inc.;VZ.N;VZ UN Equity;2090571;US;USD;NYSE;15;1510;151020;15102015;;;40.87;37.7116522;40.8700031;32.3226571;6188.7404508;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;F;US3453708600;Ford Motor Co.;F.N;F UN Equity;2615468;US;USD;NYSE;40;4010;401010;40101020;;;12.9;11.9031151;12.900001;10.20216;1953.3827242;;;;;;;;;;;0;F;US3453708600;Ford Motor Co.;F.N;F UN Equity;2615468;US;USD;NYSE;40;4010;401010;40101020;;;12.9;11.9031151;12.900001;10.20216;1953.3827242;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;EG2;DE0005190037;BMW PREF;BMWG_p.DE;BMW3 GY Equity;5756030;DE;EUR;Deutsche Boerse;40;4010;401010;40101020;;;99.75;99.75;108.1040625;85.495725;16369.6582875;;;;;;;;;;;0;EG2;DE0005190037;BMW PREF;BMWG_p.DE;BMW3 GY Equity;5756030;DE;EUR;Deutsche Boerse;40;4010;401010;40101020;;;99.75;99.75;108.1040625;85.495725;16369.6582875;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;ETR;US29364G1031;Entergy Corp.;ETR.N;ETR UN Equity;2317087;US;USD;NYSE;65;6510;651010;65101015;;;103.09;95.1234213;103.0900078;81.5302844;15610.4050308;;;;;;;;;;;0;ETR;US29364G1031;Entergy Corp.;ETR.N;ETR UN Equity;2317087;US;USD;NYSE;65;6510;651010;65101015;;;103.09;95.1234213;103.0900078;81.5302844;15610.4050308;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;681075;SG1T75931496;Singapore Telecommunications L;STEL.SI;ST SP Equity;B02PY11;SG;SGD;Singapore Exchange;15;1510;151020;15102015;;;2.51;1.7205337;1.8646284;1.4746694;282.3513658;;;;;;;;;;;0;681075;SG1T75931496;Singapore Telecommunications L;STEL.SI;ST SP Equity;B02PY11;SG;SGD;Singapore Exchange;15;1510;151020;15102015;;;2.51;1.7205337;1.8646284;1.4746694;282.3513658;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;HK912D;KYG960071028;WH GROUP;0288.HK;288 HK Equity;BLLHKZ1;HK;HKD;Stock Exchange of Hong Kong;45;4510;451020;45102020;;;5.12;.6040371;.6546252;.5177202;99.1266258;;;;;;;;;;;0;HK912D;KYG960071028;WH GROUP;0288.HK;288 HK Equity;BLLHKZ1;HK;HKD;Stock Exchange of Hong Kong;45;4510;451020;45102020;;;5.12;.6040371;.6546252;.5177202;99.1266258;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;EG7;DE0007664039;VOLKSWAGEN PREF;VOWG_p.DE;VOW3 GY Equity;5497168;DE;EUR;Deutsche Boerse;40;4010;401010;40101020;;;119.38;119.38;129.378075;102.320598;19591.075753;;;;;;;;;;;0;EG7;DE0007664039;VOLKSWAGEN PREF;VOWG_p.DE;VOW3 GY Equity;5497168;DE;EUR;Deutsche Boerse;40;4010;401010;40101020;;;119.38;119.38;129.378075;102.320598;19591.075753;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;431536;ES0130670112;ENDESA;ELE.MC;ELE SM Equity;5271782;ES;EUR;Bolsa de Madrid;65;6510;651010;65101015;;;16.735;16.735;18.1365563;14.3435685;2746.3281348;;;;;;;;;;;0;431536;ES0130670112;ENDESA;ELE.MC;ELE SM Equity;5271782;ES;EUR;Bolsa de Madrid;65;6510;651010;65101015;;;16.735;16.735;18.1365563;14.3435685;2746.3281348;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;B05NXN;KYG9828G1082;XINYI GLASS HOLDINGS;0868.HK;868 HK Equity;B05NXN7;HK;HKD;Stock Exchange of Hong Kong;50;5020;502030;50203020;;;8.27;.9756615;1.0573732;.8362395;160.1127354;;;;;;;;;;;0;B05NXN;KYG9828G1082;XINYI GLASS HOLDINGS;0868.HK;868 HK Equity;B05NXN7;HK;HKD;Stock Exchange of Hong Kong;50;5020;502030;50203020;;;8.27;.9756615;1.0573732;.8362395;160.1127354;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;CAG;US2058871029;Conagra Brands Inc.;CAG.N;CAG UN Equity;2215460;US;USD;NYSE;45;4510;451020;45102020;;;29.09;26.8419859;29.0900022;23.0062661;4404.9537538;;;;;;;;;;;0;CAG;US2058871029;Conagra Brands Inc.;CAG.N;CAG UN Equity;2215460;US;USD;NYSE;45;4510;451020;45102020;;;29.09;26.8419859;29.0900022;23.0062661;4404.9537538;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;726261;FR0000045072;CREDIT AGRICOLE;CAGR.PA1;ACA FP Equity;7262610;FR;EUR;EURONEXT Paris;30;3010;301010;30101010;;;13.398;13.398;14.5200825;11.4834258;2198.7035763;;;;;;;;;;;0;726261;FR0000045072;CREDIT AGRICOLE;CAGR.PA1;ACA FP Equity;7262610;FR;EUR;EURONEXT Paris;30;3010;301010;30101010;;;13.398;13.398;14.5200825;11.4834258;2198.7035763;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;658508;AU000000SUN6;SUNCORP GROUP LTD.;SUN.AX;SUN AU Equity;6585084;AU;AUD;Australian Securities Exchange;30;3030;303020;30302010;;;16.16;9.7481548;10.5645628;8.3551435;1599.7389775;;;;;;;;;;;0;658508;AU000000SUN6;SUNCORP GROUP LTD.;SUN.AX;SUN AU Equity;6585084;AU;AUD;Australian Securities Exchange;30;3030;303020;30302010;;;16.16;9.7481548;10.5645628;8.3551435;1599.7389775;;;;;;;;;;;
