Date,EUR PR,EUR NR,EUR GR,USD PR,USD NR,USD GR,EUR (Price),EUR (Net Return),EUR (Gross Return),USD (Price),USD (Net Return),USD (Gross Return)
3/15/2019,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
3/18/2019,1007.560016,1007.668348,1007.664088,1008.582131,1008.686584,1008.689689,1007.560993,1007.770581,1007.770581,1008.584029,1008.793829,1008.793829
3/19/2019,1007.30478,1007.624005,1007.710788,1009.127323,1009.440705,1009.533172,1007.306728,1007.72489,1007.814271,1009.129936,1009.548853,1009.638418
3/20/2019,998.3571434,998.9327005,999.0711769,1000.649038,1001.221107,1001.371417,998.3590052,999.0352485,999.1763986,1000.650833,1001.32864,1001.470148
3/21/2019,1000.625508,1001.356296,1001.494419,1003.671698,1004.400088,1004.551164,1000.624718,1001.457423,1001.598937,1003.672699,1004.507983,1004.649903
3/22/2019,997.4188817,998.3180094,998.5159586,993.6320142,994.5192167,994.732786,997.4197977,998.4156275,998.6220072,993.6330264,994.6251014,994.8306995
3/25/2019,990.6497372,991.5411163,991.7391823,990.342321,991.2266447,991.4377431,990.6491918,991.6382618,991.8432405,990.3430547,991.3318449,991.5367622
3/26/2019,1000.690215,1001.590246,1001.79019,996.6658013,997.5577857,997.7668954,1000.689176,1001.68827,1001.895326,996.6690872,997.6641935,997.8704197
3/27/2019,999.7519538,1002.058145,1002.838359,993.220339,995.5068305,996.2923182,999.7534523,1002.158242,1002.94473,993.2214054,995.6105138,996.3918584
3/28/2019,998.9610819,1001.264551,1002.044449,990.9357267,993.2144936,993.9985315,998.961497,1001.364381,1002.150247,990.9352008,993.31881,994.0983561
3/29/2019,1004.554703,1006.871696,1007.658899,995.9055001,998.1983147,998.9866074,1004.555272,1006.971611,1007.761877,995.9075082,998.3030778,999.0865355
4/1/2019,1015.889335,1018.315349,1019.136869,1006.471832,1008.87117,1009.690946,1015.890984,1018.414923,1019.241008,1006.472916,1008.973535,1009.791919
4/2/2019,1019.477018,1022.610541,1023.433325,1007.280347,1010.374678,1011.195864,1019.479041,1022.712102,1023.541701,1007.282317,1010.476787,1011.296362
4/3/2019,1023.977798,1027.125921,1027.952905,1015.254237,1018.371826,1019.199845,1023.980364,1027.227701,1028.060962,1015.255761,1018.475517,1019.301581
4/4/2019,1023.280393,1026.659551,1027.610434,1013.385009,1016.731061,1017.68279,1023.281212,1026.760976,1027.720334,1013.388044,1016.834199,1017.784212
4/5/2019,1021.651916,1025.379709,1026.520753,1012.361384,1016.047936,1017.185196,1021.65316,1025.478489,1026.625915,1012.362076,1016.152626,1017.289606
4/8/2019,1017.578925,1021.290943,1022.426667,1011.782813,1015.468935,1016.602647,1017.579358,1021.389434,1022.532285,1011.784343,1015.57273,1016.70906
4/9/2019,1013.753981,1017.693012,1018.929311,1009.008641,1012.922595,1014.163223,1013.755353,1017.791774,1019.033881,1009.011454,1013.028961,1014.265268
4/10/2019,1017.675987,1021.627341,1022.867728,1010.933501,1014.855226,1016.098985,1017.675692,1021.727722,1022.974633,1010.93667,1014.961843,1016.200508
4/11/2019,1017.082833,1021.034057,1022.276187,1012.324296,1016.248298,1017.494675,1017.084225,1021.1339,1022.380086,1012.324747,1016.355447,1017.595813
