,Date,Index_Symbol,Index_Name,Index_Type,Index_Currency,Index_Close,Index_Component_Count,Index_Mcap_Units,Index_Divisor,Internal_Number,ISIN,SEDOL,RIC,CUSIP,Instrument_Name,Country,Currency,Exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor,Close_unadjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight
31,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,537061,CH0038389992,7117884,BION.S,,BB BIOTECH,CH,CHF,SIX Swiss Exchange,4573,,,1.0,35884,312.0,0.9464769,11195808,10596574.0,1.05673
32,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,619091,HK0002007356,6097017,0002.HK,,CLP Holdings Ltd.,HK,HKD,Hong Kong Stock Exchange,7535,,,1.0,1346842,66.0,0.118008,88891572,10489917.0,1.04609
33,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,SBC,US00206R1023,2831811,T.N,,AT&T Inc.,US,USD,New York Stock Exchange,6535,,,1.0,342274,33.28,0.9152062,11390879,10425003.0,1.03962
34,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,MAT,US5770811025,2572303,MAT.OQ,,Mattel Inc.,US,USD,NASDAQ,3747,,,1.0,469289,24.18,0.9152062,11347408,10385218.0,1.03565
35,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,222961,CA7669101031,2229610,REI_u.TO,,RIOCAN REIT.TST.,CA,CAD,Toronto Stock Exchange,8672,,,1.0,489772,28.71,0.7312081,14061354,10281776.0,1.02533
36,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,490541,FR0000120271,B15C557,TOTF.PA,,TOTAL,FR,EUR,EURONEXT (FR),0537,,,1.0,218598,46.95,1.0,10263176,10263176.0,1.02348
37,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,070550,GB00B1Z4ST84,B1Z4ST8,PFG.L,,PROVIDENT FINANCIAL,GB,GBP,LSE,8773,,,1.0,267932,28.0,1.3666805,7502096,10252968.0,1.02246
38,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,681182,SG1P66918738,B012899,SPRM.SI,,Singapore Press Holdings Ltd.,SG,SGD,Singapore Exchange,5557,,,1.0,3655633,4.13,0.6694562,15097764,10107292.0,1.00793
39,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,557955,FI0009007132,5579550,FUM1V.HE,,FORTUM,FI,EUR,OMX (FI),7535,,,1.0,499009,20.25,1.0,10104932,10104932.0,1.0077
40,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,685085,AU000000SGP0,6850856,SGP.AX,,Stockland,AU,AUD,ASX,8673,,,1.0,3068282,4.56,0.7181588,13991366,10048022.0,1.00202
