Creation_Date;Index_Symbol;Index_Name;Index ISIN;Internal_Key;ISIN;SEDOL;RIC;Instrument_Name;Country;Currency;Exchange;Industry;Supersector;Sector;Subsector;Close_Price;Close_Price_Currency;New_Shares;New_Float;New_CapFactor;New_WeightFactor;New_Mcap_Units;Weights;Index_Membership_Previous;New_Index_Membership;Changes
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;EG2;DE0005190037;5756030;BMWG_p.DE;BMW PREF;DE;EUR;Deutsche Boerse;40;4010;401010;40101020;77.25;EUR;;;1;165727;12802411;1.28024;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;040054;GB0005405286;0540528;HSBA.L;HSBC;GB;GBP;London Stock Exchange;30;3010;301010;30101010;10.1698768;EUR;;;1;1254170;12754754;1.27548;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;471310;FR0013269123;BDT88L2;RUBF.PA1;RUBIS;FR;EUR;EURONEXT Paris;40;4040;404010;40401030;25.44;EUR;;;1;500417;12730608;1.27306;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;HK912D;KYG960071028;BLLHKZ1;0288.HK;WH GROUP;HK;HKD;Stock Exchange of Hong Kong;45;4510;451020;45102020;.7962985;EUR;;;1;15749670;12541439;1.25415;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;F;US3453708600;2615468;F.N;Ford Motor Co.;US;USD;NYSE;40;4010;401010;40101020;8.7769394;EUR;;;1;1422923;12488909;1.24889;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;642012;SG1M51904654;6420129;CMLT.SI;CAPTIALAND INT COMM TRUST;SG;SGD;Singapore Exchange;35;3510;351020;35102000;1.4545707;EUR;;;1;8411683;12235388;1.22354;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;581006;PLPKN0000018;5810066;PKN.WA;ORLEN;PL;PLN;Warsaw Stock Exchange;60;6010;601010;60101020;15.9125966;EUR;;;1;765408;12179629;1.21796;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;643532;HK0006000050;6435327;0006.HK;POWER ASSETS HOLDINGS LTD;HK;HKD;Stock Exchange of Hong Kong;65;6510;651010;65101015;6.2507062;EUR;;;1;1944813;12156455;1.21565;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;425240;DE0007100000;5529027;MBGn.DE;MERCEDES-BENZ GROUP;DE;EUR;Deutsche Boerse;40;4010;401010;40101020;59.72;EUR;;;1;201493;12033162;1.20332;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;448816;NL0011821202;BZ57390;INGA.AS1;ING GRP;NL;EUR;EURONEXT Amsterdam;30;3010;301010;30101010;18.302;EUR;;;1;652353;11939365;1.19394;Y;Y;
