STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
079087;0790873;GB0007908733;20190318;1381317;1
662460;6624608;AU000000NAB4;20190318;1191800;1
609128;6091280;AU000000BEN6;20190318;2813367;1
407683;4076836;IT0000072618;20190318;7658934;1
616400;6574071;HK0008011667;20190318;30100183;1
481775;5966516;FR0000130809;20190318;534576;1
080341;B03MM40;GB00B03MM408;20190318;523514;1
681075;B02PY22;SG1T75931496;20190318;7238148;1
698899;6586537;BMG988031446;20190318;4569566;1
478511;BRJL176;CH0244767585;20190318;1244849;1
685085;6850856;AU000000SGP0;20190318;5694956;1
024282;BDR05C0;GB00BDR05C01;20190318;1317056;1
B05NXN;B05NXN7;KYG9828G1082;20190318;12973685;1
491134;BFYM460;FR0013326246;20190318;89687;1
738006;7380062;DE0005408116;20190318;462831;1
606558;6065586;AU000000ANZ3;20190318;799569;1
037178;0925288;GB0009252882;20190318;736693;1
608625;6086253;AU000000FMG4;20190318;3009981;1
615252;6152529;NZCENE0001S6;20190318;3249223;1
643532;6435327;HK0006000050;20190318;2031469;1
656387;6563875;SG1M77906915;20190318;6795112;1
556582;7582556;FR0000121964;20190318;392091;1
012715;0263494;GB0002634946;20190318;2099400;1
B00D9P;B00D9P6;BE0003810273;20190318;481555;1
064623;B39J2M4;GB00B39J2M42;20190318;1155561;1
626551;6175203;SG1L01001701;20190318;708127;1
F;2615468;US3453708600;20190318;1541768;1
SBC;2831811;US00206R1023;20190318;418799;1
481334;4813345;SE0000148884;20190318;1236234;1
658508;6585084;AU000000SUN6;20190318;1362494;1
AVZ;B28XP76;BMG491BT1088;20190318;635354;1
594176;B083BH4;CH0008038389;20190318;147127;1
524918;4103596;PTEDP0AM0009;20190318;3315602;1
643557;6435576;HK0004000045;20190318;4200867;1
461785;4617859;DE0005552004;20190318;372817;1
407228;5705946;ES0113900J37;20190318;2477543;1
MO;2692632;US02209S1033;20190318;213214;1
B1G185;B1G1854;JP3711200000;20190318;434086;1
B04PZ7;B04PZ72;SG1Q52922370;20190318;8405198;1
FD;2345022;US55616P1049;20190318;499666;1
POW;2697701;CA7392391016;20190318;523044;1
647453;6474535;JP3726800000;20190318;456256;1
405671;4056719;IT0000062072;20190318;616869;1
642012;6420129;SG1M51904654;20190318;6493037;1
608545;6087289;AU000000TLS2;20190318;4801283;1
649026;B1VQ5C0;SG1U68934629;20190318;2433384;1
691678;6916781;SG1M31001969;20190318;589353;1
557955;5579550;FI0009007132;20190318;489175;1
STX;B58JVZ5;IE00B58JVZ52;20190318;228930;1
725147;7251470;IT0003153415;20190318;2134448;1
499187;5983816;CH0011075394;20190318;31566;1
663376;6633767;HK0017000149;20190318;6553247;1
774563;7745638;FR0000064578;20190318;99503;1
217052;2170525;CA1360691010;20190318;122875;1
656835;6568353;BMG668971101;20190318;4710723;1
478165;B545MG5;CH0126881561;20190318;103541;1
654362;B70DWB2;AU000000SYD9;20190318;1942049;1
490541;B15C557;FR0000120271;20190318;170819;1
681042;6810429;HK0083000502;20190318;5362767;1
PPL;2680905;US69351T1060;20190318;305735;1
BNS;2076281;CA0641491075;20190318;180871;1
681182;B012899;SG1P66918738;20190318;5475178;1
274642;2492519;CA56501R1064;20190318;556467;1
624226;6242260;SG1B51001017;20190318;390635;1
401632;5231485;DE0008404005;20190318;41752;1
SO;2829601;US8425871071;20190318;182845;1
461075;5294121;DE0008430026;20190318;38345;1
RKT;BYR0914;US96145D1054;20190318;241938;1
SCL.B;2801836;CA82028K2002;20190318;440022;1
OXY;2655408;US6745991058;20190318;137138;1
VLO;2041364;US91913Y1001;20190318;104689;1
IBM;2005973;US4592001014;20190318;64201;1
US20RF;B3SPXZ3;NL0009434992;20190318;102632;1
553397;5533976;CH0008742519;20190318;18177;1
479736;B1LB9P6;FR0010411983;20190318;193287;1
WU;B1F76F9;US9598021098;20190318;483066;1
;2077303;CA6330671034;20190318;186254;1
619091;6097017;HK0002007356;20190318;748485;1
554398;5543986;FR0000120222;20190318;370841;1
256612;2566124;CA8667961053;20190318;217880;1
IP;2465254;US4601461035;20190318;181927;1
BEL;2090571;US92343V1044;20190318;143748;1
PFG;2803014;US74251V1026;20190318;156857;1
PRU;2819118;US7443201022;20190318;84760;1
GIS;2367026;US3703341046;20190318;171310;1
BMO;2076009;CA0636711016;20190318;103531;1
DUK;B7VD3F2;US26441C2044;20190318;88292;1
RY;2754383;CA7800871021;20190318;101582;1
B0PB4M;B0PB4M7;HK0823032773;20190318;700105;1
HOU;2440637;US15189T1079;20190318;242878;1
ETN;B8KQN82;IE00B8KQN827;20190318;85139;1
ED;2216850;US2091151041;20190318;82339;1
KSS;2496113;US5002551043;20190318;100136;1
DH;2259101;US87612E1064;20190318;88438;1
HWP;BYX4D52;US40434L1052;20190318;329896;1
AEP;2026242;US0255371017;20190318;77502;1
PFE;2684703;US7170811035;20190318;153426;1
PEG;2707677;US7445731067;20190318;103565;1
DTE;2280220;US2333311072;20190318;47734;1
RCI.B;2169051;CA7751092007;20190318;107066;1
400609;5927375;NL0000303709;20200323;11671362;1
608625;6086253;AU000000FMG4;20200323;4859100;1
080341;B03MM40;GB00B03MM408;20200323;1733852;1
424245;B1HDJL2;FR0000120685;20200323;7643753;1
556582;7582556;FR0000121964;20200323;847515;1
478511;BRJL176;CH0244767585;20200323;2175253;1
491134;BFYM460;FR0013326246;20200323;246866;1
407683;4076836;IT0000072618;20200323;10778161;1
448816;BZ57390;NL0011821202;20200323;3220352;1
021623;0216238;GB0002162385;20200323;6834688;1
616400;6574071;HK0008011667;20200323;31603988;1
609128;6091280;AU000000BEN6;20200323;4756941;1
NL403F;BNG8PQ9;NL0010773842;20200323;673022;1
EG2;5756030;DE0005190037;20200323;406915;1
656835;6568353;BMG668971101;20200323;15053929;1
481775;5966516;FR0000130809;20200323;971376;1
B00D9P;B00D9P6;BE0003810273;20200323;660490;1
647453;6474535;JP3726800000;20200323;801990;1
407228;5705946;ES0113900J37;20200323;5995603;1
426292;4588825;DK0010274414;20200323;1390211;1
B05NXN;B05NXN7;KYG9828G1082;20200323;12715108;1
698899;6586537;BMG988031446;20200323;10391090;1
648631;6486314;BMG524401079;20200323;5858132;1
681182;B012899;SG1P66918738;20200323;11623622;1
490541;B15C557;FR0000120271;20200323;458015;1
079087;0790873;GB0007908733;20200323;1045377;1
681075;B02PY22;SG1T75931496;20200323;8119089;1
B1FF8P;B1FF8P7;JP3142500002;20200323;582664;1
658508;6585084;AU000000SUN6;20200323;2803575;1
662460;6624608;AU000000NAB4;20200323;1570593;1
037178;0925288;GB0009252882;20200323;785850;1
681042;6810429;HK0083000502;20200323;11681268;1
F;2615468;US3453708600;20200323;3050331;1
RKT;BYR0914;US96145D1054;20200323;479420;1
606558;6065586;AU000000ANZ3;20200323;1450945;1
725147;7251470;IT0003153415;20200323;2929698;1
663376;6633767;HK0017000149;20200323;11760535;1
461785;4617859;DE0005552004;20200323;495925;1
481334;4813345;SE0000148884;20200323;1869240;1
626551;6175203;SG1L01001701;20200323;962713;1
B1G185;B1G1854;JP3711200000;20200323;620085;1
217052;2170525;CA1360691010;20200323;226466;1
643532;6435327;HK0006000050;20200323;1920372;1
691678;6916781;SG1M31001969;20200323;834321;1
405671;4056719;IT0000062072;20200323;847187;1
642012;6420129;SG1M51904654;20200323;8936282;1
US20RF;B3SPXZ3;NL0009434992;20200323;241431;1
IP;2465254;US4601461035;20200323;366778;1
SBC;2831811;US00206R1023;20200323;356727;1
615252;6152529;NZCENE0001S6;20200323;3503400;1
479736;B1LB9P6;FR0010411983;20200323;455600;1
STX;B58JVZ5;IE00B58JVZ52;20200323;230316;1
557955;5579550;FI0009007132;20200323;709634;1
PRU;2819118;US7443201022;20200323;238306;1
554398;5543986;FR0000120222;20200323;1275281;1
SCL.B;2801836;CA82028K2002;20200323;747593;1
BNS;2076281;CA0641491075;20200323;284648;1
B04PZ7;B04PZ72;SG1Q52922370;20200323;12010350;1
POW;2697701;CA7392391016;20200323;753252;1
CCL;2523044;PA1436583006;20200323;755640;1
B0PB4M;B0PB4M7;HK0823032773;20200323;1088312;1
413366;7309681;FR0000131104;20200323;326773;1
NOB;2649100;US9497461015;20200323;347453;1
499187;5983816;CH0011075394;20200323;31499;1
IBM;2005973;US4592001014;20200323;91646;1
624226;6242260;SG1B51001017;20200323;733568;1
BEN;2350684;US3546131018;20200323;560415;1
401632;5231485;DE0008404005;20200323;60422;1
BEL;2090571;US92343V1044;20200323;167890;1
478165;B545MG5;CH0126881561;20200323;148734;1
BMO;2076009;CA0636711016;20200323;216118;1
VLO;2041364;US91913Y1001;20200323;254728;1
619091;6097017;HK0002007356;20200323;982125;1
PFE;2684703;US7170811035;20200323;286677;1
649026;B1VQ5C0;SG1U68934629;20200323;2334954;1
HOU;2440637;US15189T1079;20200323;641275;1
274642;2492519;CA56501R1064;20200323;866781;1
RY;2754383;CA7800871021;20200323;154858;1
CMA;2212870;US2003401070;20200323;279806;1
PFG;2803014;US74251V1026;20200323;308245;1
PPL;2680905;US69351T1060;20200323;393083;1
US10NA;B665KZ5;US37045V1008;20200323;409289;1
GIS;2367026;US3703341046;20200323;151400;1
654362;B70DWB2;AU000000SYD9;20200323;2492062;1
US506X;BQRX1X3;US1746101054;20200323;438333;1
774563;7745638;FR0000064578;20200323;127192;1
WU;B1F76F9;US9598021098;20200323;367778;1
US112Q;B3K3L40;US56585A1025;20200323;404472;1
VNO;2933632;US9290421091;20200323;218557;1
;2077303;CA6330671034;20200323;243430;1
SO;2829601;US8425871071;20200323;148973;1
DUK;B7VD3F2;US26441C2044;20200323;96928;1
656387;6563875;SG1M77906915;20200323;3959090;1
256612;2566124;CA8667961053;20200323;246826;1
PEG;2707677;US7445731067;20200323;162125;1
DTE;2280220;US2333311072;20200323;75277;1
RCI.B;2169051;CA7751092007;20200323;176312;1
ED;2216850;US2091151041;20200323;87678;1
HWP;BYX4D52;US40434L1052;20200323;366373;1
685085;6850856;AU000000SGP0;20200323;4360451;1
608625;6086253;AU000000FMG4;20210322;2027114;1
617350;6173508;AU000000HVN7;20210322;5594355;1
037178;0925288;GB0009252882;20210322;1222914;1
643532;6435327;HK0006000050;20210322;3610470;1
670262;6702623;AU000000JBH7;20210322;531352;1
051152;0560399;GB0005603997;20210322;5403526;1
079087;0790873;GB0007908733;20210322;1002048;1
B06QFB;B06QFB7;GB00B06QFB75;20210322;1490761;1
647453;6474535;JP3726800000;20210322;929063;1
517617;5176177;FR0000133308;20210322;1412771;1
B00D9P;B00D9P6;BE0003810273;20210322;809710;1
NL403F;BNG8PQ9;NL0010773842;20210322;343617;1
615252;6152529;NZCENE0001S6;20210322;3380632;1
663376;BM94GQ4;HK0000608585;20210322;3172640;1
B04PZ7;B04PZ72;SG1Q52922370;20210322;14013453;1
JP609N;BYT8143;JP3752900005;20210322;1550661;1
PPL;2680905;US69351T1060;20210322;520776;1
641440;6414401;JP3768600003;20210322;994863;1
681042;6810429;HK0083000502;20210322;10258070;1
POW;2697701;CA7392391016;20210322;540465;1
681075;B02PY22;SG1T75931496;20210322;8148510;1
725147;7251470;IT0003153415;20210322;2545746;1
484651;7634402;IT0003497176;20210322;25249567;1
656302;6563024;JP3890350006;20210322;351805;1
656387;6563875;SG1M77906915;20210322;5988730;1
642012;6420129;SG1M51904654;20210322;8361250;1
JP407J;BH0VTS2;JP3117700009;20210322;5146032;1
619091;6097017;HK0002007356;20210322;1382862;1
625134;6421553;JP3500610005;20210322;2936926;1
625024;6591014;JP3885780001;20210322;831225;1
AU01JO;B3X0F91;AU000000EVN4;20210322;3886779;1
400169;B86S2N0;BE0974264930;20210322;215082;1
IBM;2005973;US4592001014;20210322;96401;1
IT602J;BYYN701;IT0003796171;20210322;1002665;1
659668;6335171;JP3902900004;20210322;2085017;1
442048;7110753;CH0012214059;20210322;218186;1
HK209C;B1FSSM3;KYG6382M1096;20210322;10002854;1
557955;5579550;FI0009007132;20210322;458056;1
B1VP94;B1VP947;DE000A0LD2U1;20210322;729431;1
217052;2170525;CA1360691010;20210322;120886;1
506506;B97C733;SE0005190238;20210322;917218;1
659678;6596785;JP3898400001;20210322;392373;1
626897;6268976;JP3499800005;20210322;1828868;1
774563;7745638;FR0000064578;20210322;138491;1
B05NXN;B05NXN7;KYG9828G1082;20210322;3518002;1
BNS;2076281;CA0641491075;20210322;183932;1
499187;5983816;CH0011075394;20210322;26456;1
LU501L;B8K9X70;LU0775917882;20210322;439847;1
EG2;5756030;DE0005190037;20210322;143027;1
DE2070;5735631;DE0008303504;20210322;382468;1
401632;5231485;DE0008404005;20210322;44183;1
ED;2216850;US2091151041;20210322;151201;1
658508;6585084;AU000000SUN6;20210322;1408853;1
PFE;2684703;US7170811035;20210322;300027;1
274642;2492519;CA56501R1064;20210322;490072;1
626551;6175203;SG1L01001701;20210322;494139;1
465145;4651459;AT0000743059;20210322;204583;1
DUK;B7VD3F2;US26441C2044;20210322;111177;1
BEL;2090571;US92343V1044;20210322;182803;1
ETR;2317087;US29364G1031;20210322;104835;1
SO;2829601;US8425871071;20210322;170216;1
691678;6916781;SG1M31001969;20210322;534041;1
TDpD;2897222;CA8911605092;20210322;151769;1
BMO;2076009;CA0636711016;20210322;111877;1
609128;6091280;AU000000BEN6;20210322;1291719;1
528586;7437805;CH0014852781;20210322;19794;1
469678;7101069;DE000PAH0038;20210322;85539;1
470774;4380429;FR0000130577;20210322;158317;1
RY;2754383;CA7800871021;20210322;103273;1
DE305Z;B5ZQ9D3;DE000EVNK013;20210322;270761;1
IP;2465254;US4601461035;20210322;171229;1
RCI.B;2169051;CA7751092007;20210322;185147;1
CDIC;2175672;US14149Y1082;20210322;151365;1
US20RF;B3SPXZ3;NL0009434992;20210322;83181;1
GIS;2367026;US3703341046;20210322;142625;1
;2077303;CA6330671034;20210322;123338;1
