,Date,Next_Trading_Day,Index_Symbol,Index_Name,Index_Type,Index_Currency,Index_Component_Count,Index_Mcap_Units,Index_Divisor,Internal_Number,ISIN,SEDOL,RIC,CUSIP,Instrument_Name,Country,Currency,Exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor,Close_unadjusted_local,Close_adjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight,Index_Close
49,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,681182,SG1P66918738,B012899,SPRM.SI,,Singapore Press Holdings Ltd.,SG,SGD,Singapore Exchange,5557,,,1,10070243,1.81,1.81,0.6441432,18227140,11740888,1.26591,
50,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,685085,AU000000SGP0,6850856,SGP.AX,,Stockland,AU,AUD,ASX,8673,,,1,3777753,2.14,2.14,0.5467769,8084391,4420359,0.47661,
51,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,691678,SG1M31001969,6916781,UOBH.SI,,United Overseas Bank Ltd.,SG,SGD,Singapore Exchange,8355,,,1,722824,18.96,18.96,0.6441432,13704743,8827817,0.95182,
52,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,698899,BMG988031446,6586537,0551.HK,,Yue Yuen Industrial (Holdings),HK,HKD,Hong Kong Stock Exchange,3765,,,1,9002436,12,12,0.120628,108029232,13031350,1.40505,
53,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,725147,IT0003153415,7251470,SRG.MI,,SNAM RETE GAS,IT,EUR,Milan,577,,,1,2538163,3.756,3.756,1,9533340,9533340,1.02789,
54,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,774563,FR0000064578,7745638,CVO.PA,,COVIVIO,FR,EUR,EURONEXT (FR),8671,,,1,110194,53.05,53.05,1,5845792,5845792,0.6303,
55,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,B00D9P,BE0003810273,B00D9P6,PROX.BR,,PROXIMUS,BE,EUR,EURONEXT (BE),6535,,,1,572221,19.32,19.32,1,11055310,11055310,1.19199,
56,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,B04PZ7,SG1Q52922370,B04PZ72,SUNT.SI,,Suntec Real Estate Investment,SG,SGD,Singapore Exchange,8671,,,1,10405275,1.19,1.19,0.6441432,12382277,7975960,0.85998,
57,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,B05NXN,KYG9828G1082,B05NXN7,0868.HK,,XINYI GLASS HOLDINGS,HK,HKD,Hong Kong Stock Exchange,3355,,,1,11015846,8.48,8.48,0.120628,93414374,11268389,1.21497,
58,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,B0PB4M,HK0823032773,B0PB4M7,0823.HK,,Link Real Estate Investment Tr,HK,HKD,Hong Kong Stock Exchange,8672,,,1,942868,66.75,66.75,0.120628,62936439,7591897,0.81857,
59,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,B1FF8P,JP3142500002,B1FF8P7,5019.T,,Idemitsu Kosan Co. Ltd.,JP,JPY,Tokio Stock Exchange,533,,,1,504798,2431,2431,0.0084025,1227163938,10311245,1.11177,
60,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,B1G185,JP3711200000,B1G1854,8304.T,,AOZORA BANK,JP,JPY,Tokio Stock Exchange,8355,,,1,537219,2021,2021,0.0084025,1085719599,9122759,0.98362,
61,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,BEL,US92343V1044,2090571,VZ.N,,Verizon Communications Inc.,US,USD,New York Stock Exchange,6535,,,1,145452,51.8,51.8,0.9355412,7534414,7048754,0.76,
62,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,BEN,US3546131018,2350684,BEN.N,,Franklin Resources Inc.,US,USD,New York Stock Exchange,8771,,,1,485519,16.9,16.9,0.9355412,8205271,7676369,0.82767,
63,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,BMO,CA0636711016,2076009,BMO.TO,,Bank of Montreal,CA,CAD,Toronto Stock Exchange,8355,,,1,187235,62.26,62.26,0.6517631,11657251,7597766,0.8192,
64,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,BNS,CA0641491075,2076281,BNS.TO,,Bank of Nova Scotia,CA,CAD,Toronto Stock Exchange,8355,,,1,246607,50.03,50.03,0.6517631,12337748,8041289,0.86702,
65,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,CCL,PA1436583006,2523044,CCL.N,,Carnival Corp.,US,USD,New York Stock Exchange,5759,,,1,654654,12,12,0.9355412,7855848,7349469,0.79243,
66,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,CMA,US2003401070,2212870,CMA.N,,Comerica Inc.,US,USD,New York Stock Exchange,8355,,,1,242412,28.93,28.93,0.9355412,7012979,6560931,0.70741,
67,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,DTE,US2333311072,2280220,DTE.N,,DTE Energy Co.,US,USD,New York Stock Exchange,7535,,,1,65217,83,83,0.9355412,5413011,5064095,0.54602,
68,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,DUK,US26441C2044,B7VD3F2,DUK.N,,Duke Energy Corp.,US,USD,New York Stock Exchange,7575,,,1,83975,68.4,68.4,0.9355412,5743890,5373646,0.57939,
69,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,ED,US2091151041,2216850,ED.N,,Consolidated Edison Inc.,US,USD,New York Stock Exchange,7535,,,1,75960,72.59,72.59,0.9355412,5513936,5158515,0.5562,
70,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,EG2,DE0005190037,5756030,BMWG_p.DE,,BMW PREF,DE,EUR,XETRA (DE),3353,,,1,352535,37.24,37.24,1,13128403,13128403,1.41552,
71,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,F,US3453708600,2615468,F.N,,Ford Motor Co.,US,USD,New York Stock Exchange,3353,,,1,2642682,4.33,4.33,0.9355412,11442813,10705223,1.15425,
72,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,GIS,US3703341046,2367026,GIS.N,,General Mills Inc.,US,USD,New York Stock Exchange,3577,,,1,131167,53.37,53.37,0.9355412,7000383,6549147,0.70613,
73,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,HOU,US15189T1079,2440637,CNP.N,,CenterPoint Energy Inc.,US,USD,New York Stock Exchange,7575,,,1,555578,12.48,12.48,0.9355412,6933613,6486681,0.6994,
74,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,HWP,US40434L1052,BYX4D52,HPQ.N,,HP Inc.,US,USD,New York Stock Exchange,9572,,,1,317410,13.95,13.95,0.9355412,4427870,4142454,0.44664,
75,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,IBM,US4592001014,2005973,IBM.N,,International Business Machine,US,USD,New York Stock Exchange,9533,,,1,79398,95.39,95.39,0.9355412,7573775,7085579,0.76397,
76,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,IP,US4601461035,2465254,IP.N,,International Paper Co.,US,USD,New York Stock Exchange,1737,,,1,317761,29.51,29.51,0.9355412,9377127,8772689,0.94588,
77,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,NA,CA6330671034,2077303,NA.TO,,National Bank of Canada,CA,CAD,Toronto Stock Exchange,8355,,,1,210896,42.96,42.96,0.6517631,9060092,5905034,0.63669,
78,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,NL403F,NL0010773842,BNG8PQ9,NN.AS,,NN GROUP,NL,EUR,EURONEXT (NL),8575,,,1,583079,23.09,23.09,1,13463294,13463294,1.45162,
79,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,NOB,US9497461015,2649100,WFC.N,,Wells Fargo & Co.,US,USD,New York Stock Exchange,8355,,,1,301020,26.5,26.5,0.9355412,7977030,7462840,0.80465,
80,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,PEG,US7445731067,2707677,PEG.N,,Public Service Enterprise Grou,US,USD,New York Stock Exchange,7535,,,1,140459,37.82,37.82,0.9355412,5312159,4969744,0.53584,
81,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,PFE,US7170811035,2684703,PFE.N,,Pfizer Inc.,US,USD,New York Stock Exchange,4577,,,1,248365,29.01,29.01,0.9355412,7205069,6740639,0.72678,
82,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,PFG,US74251V1026,2803014,PFG.OQ,,Principal Financial Group Inc.,US,USD,NASDAQ,8575,,,1,267049,25.68,25.68,0.9355412,6857818,6415772,0.69175,
83,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,POW,CA7392391016,2697701,POW.TO,,Power Corp. of Canada,CA,CAD,Toronto Stock Exchange,8575,,,1,652590,19.3,19.3,0.6517631,12594987,8208948,0.8851,
84,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,PPL,US69351T1060,2680905,PPL.N,,PPL Corp.,US,USD,New York Stock Exchange,7535,,,1,340551,19.67,19.67,0.9355412,6698638,6266852,0.6757,
85,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,PRU,US7443201022,2819118,PRU.N,,Prudential Financial Inc.,US,USD,New York Stock Exchange,8575,,,1,206458,42.26,42.26,0.9355412,8724915,8162518,0.88009,
86,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,RCI.B,CA7751092007,2169051,RCIb.TO,,Rogers Communications Inc. Cl,CA,CAD,Toronto Stock Exchange,6575,,,1,152750,54.63,54.63,0.6517631,8344733,5438789,0.58642,
87,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,RKT,US96145D1054,BYR0914,WRK.N,,WESTROCK,US,USD,New York Stock Exchange,2723,,,1,415350,25.52,25.52,0.9355412,10599732,9916486,1.0692,
88,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,RY,CA7800871021,2754383,RY.TO,,Royal Bank of Canada,CA,CAD,Toronto Stock Exchange,8355,,,1,134162,78.5,78.5,0.6517631,10531717,6864185,0.7401,
89,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,SBC,US00206R1023,2831811,T.N,,AT&T Inc.,US,USD,New York Stock Exchange,6535,,,1,309055,28.45,28.45,0.9355412,8792615,8225853,0.88692,
90,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,SCL.B,CA82028K2002,2801836,SJRb.TO,,Shaw Communications Inc. Cl B,CA,CAD,Toronto Stock Exchange,5553,,,1,647683,19.09,19.09,0.6517631,12364268,8058574,0.86888,
91,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,SO,US8425871071,2829601,SO.N,,Southern Co.,US,USD,New York Stock Exchange,7535,,,1,129065,46.36,46.36,0.9355412,5983453,5597767,0.60356,
92,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,STX,IE00B58JVZ52,B58JVZ5,STX.OQ,,Seagate Technology Inc.,US,USD,NASDAQ,9572,,,1,199537,40.73,40.73,0.9355412,8127142,7603276,0.81979,
93,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,US10NA,US37045V1008,B665KZ5,GM.N,,GENERAL MOTORS,US,USD,New York Stock Exchange,3353,,,1,354589,18.14,18.14,0.9355412,6432244,6017630,0.64883,
94,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,US112Q,US56585A1025,B3K3L40,MPC.N,,MARATHON PETROLEUM,US,USD,New York Stock Exchange,537,,,1,350416,18.95,18.95,0.9355412,6640383,6212352,0.66982,
95,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,US20RF,NL0009434992,B3SPXZ3,LYB.N,,LYONDELLBASELL INDUSTRIES,US,USD,New York Stock Exchange,1353,,,1,209165,42,42,0.9355412,8784930,8218664,0.88614,
96,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,US506X,US1746101054,BQRX1X3,CFG.N,,CITIZENS FINANCIAL GROUP,US,USD,New York Stock Exchange,8355,,,1,379756,17.52,17.52,0.9355412,6653325,6224460,0.67113,
97,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,VLO,US91913Y1001,2041364,VLO.N,,Valero Energy Corp.,US,USD,New York Stock Exchange,533,,,1,220687,38.66,38.66,0.9355412,8531759,7981812,0.86061,
98,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,VNO,US9290421091,2933632,VNO.N,,Vornado Realty Trust,US,USD,New York Stock Exchange,8671,,,1,189349,29.66,29.66,0.9355412,5616091,5254085,0.5665,
99,3/23/2020,3/23/2020,SDGP,STXG18SD100 EUR P,Price,EUR,100,927463951.7,469796,WU,US9598021098,B1F76F9,WU.N,,Western Union Co.,US,USD,New York Stock Exchange,8773,,,1,318627,18.37,18.37,0.9355412,5853178,5475889,0.59042,
0,3/22/2021,3/22/2021,SDGP,STXG18SD100 EUR P,Price,EUR,100,1023447459,354171,37178,GB0009252882,925288,GSK.L,,GLAXOSMITHKLINE,GB,GBP,LSE,20103015,,,1,1246175,12.962,12.962,1.1647547,16152920,18814190,1.83832,
1,3/22/2021,3/22/2021,SDGP,STXG18SD100 EUR P,Price,EUR,100,1023447459,354171,51152,GB0005603997,560399,LGEN.L,,LEGAL & GENERAL GRP,GB,GBP,LSE,30301010,,,1,5506289,2.779,2.779,1.1647547,15301977,17823050,1.74147,
2,3/22/2021,3/22/2021,SDGP,STXG18SD100 EUR P,Price,EUR,100,1023447459,354171,79087,GB0007908733,790873,SSE.L,,SCOTTISH & SOUTHERN ENERGY,GB,GBP,LSE,65101015,,,1,1021108,14.12,14.12,1.1647547,14418045,16793486,1.64087,
