,Date,Index_Symbol,Index_Name,Index_Type,Index_Currency,Index_Close,Index_Component_Count,Index_Mcap_Units,Index_Divisor,Internal_Number,ISIN,SEDOL,RIC,CUSIP,Instrument_Name,Country,Currency,Exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor_calc,Close_unadjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight,Cutoff,ADTV_3M_EUR,ADTV_Cap_Screen,Liquidity_Test,New_Weight,New_Weight_Sum,New_Mcap
0,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,79087,GB0007908733,790873,SSE.L,,SCOTTISH & SOUTHERN ENERGY,GB,GBP,LSE,7535,,,1,1381317,12.25,1.1660449,17161246,20010783,0.0197308,2/28/2019,38762904.29,96907260.73,PASS,0.019836045,1,20117543.72
1,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,662460,AU000000NAB4,6624608,NAB.AX,,National Australia Bank Ltd.,AU,AUD,ASX,8355,,,1,1191800,25.12,0.6261938,30362795,19012994,0.018747,2/28/2019,94046601.11,235116502.8,PASS,0.018846997,1,19114460.24
2,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,609128,AU000000BEN6,6091280,BEN.AX,,Bendigo & Adelaide Bank Ltd.,AU,AUD,ASX,8355,,,1,2813367,9.75,0.6261938,27819626,17420477,0.0171767,2/28/2019,12024722.37,30061805.93,PASS,0.017268321,1,17513380.77
3,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,407683,IT0000072618,4076836,ISP.MI,,INTESA SANPAOLO,IT,EUR,Milan,8355,,,1,7658934,2.233,1,17345107,17345107,0.0171024,2/28/2019,246925338,617313345,PASS,0.017193625,1,17437624.41
4,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,616400,HK0008011667,6574071,0008.HK,,PCCW,HK,HKD,Hong Kong Stock Exchange,6535,,,1,30100183,4.71,0.1123608,143783870,16155672,0.0159296,2/28/2019,4577534.067,11443835.17,PASS,0.011443835,1,11606237.75
5,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,481775,FR0000130809,5966516,SOGN.PA,,GRP SOCIETE GENERALE,FR,EUR,EURONEXT (FR),8355,,,1,534576,27.97,1,15164271,15164271,0.0149521,2/28/2019,141483071.9,353707679.8,PASS,0.015031855,1,15245176.35
6,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,80341,GB00B03MM408,B03MM40,RDSb.L,,ROYAL DUTCH SHELL B,GB,GBP,LSE,537,,,1,523514,24.3,1.1660449,12901915,15044212,0.0148337,2/28/2019,123761464.2,309403660.5,PASS,0.014912824,1,15124455.59
7,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,681075,SG1T75931496,B02PY22,STEL.SI,,Singapore Telecommunications L,SG,SGD,Singapore Exchange,6575,,,1,7238148,3.02,0.6524436,22169439,14464309,0.0142619,2/28/2019,34063799.39,85159498.48,PASS,0.014337974,1,14541447.73
8,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,698899,BMG988031446,6586537,0551.HK,,Yue Yuen Industrial (Holdings),HK,HKD,Hong Kong Stock Exchange,3765,,,1,4569566,27.15,0.1123608,125824693,14137763,0.0139399,2/28/2019,5916865.817,14792164.54,PASS,0.014014256,1,14213136.2
9,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,478511,CH0244767585,BRJL176,UBSG.S,,UBS GROUP,CH,CHF,SIX Swiss Exchange,8355,,,1,1244849,12.485,0.8817176,15762537,13898106,0.0137036,2/28/2019,143306840.5,358267101.3,PASS,0.013776696,1,13972204.48
