STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
;790873;GB0007908733;20190318;1388685;1
;6624608;AU000000NAB4;20190318;1198157;1
;6091280;AU000000BEN6;20190318;2828373;1
;4076836;IT0000072618;20190318;7699787;1
;6574071;HK0008011667;20190318;21623992;1
;5966516;FR0000130809;20190318;537428;1
;B03MM40;GB00B03MM408;20190318;526306;1
;B02PY22;SG1T75931496;20190318;7276757;1
;6586537;BMG988031446;20190318;4593941;1
;BRJL176;CH0244767585;20190318;1251489;1
;6850856;AU000000SGP0;20190318;5725333;1
;BDR05C0;GB00BDR05C01;20190318;1324081;1
;B05NXN7;KYG9828G1082;20190318;13042887;1
;BFYM460;FR0013326246;20190318;90166;1
;7380062;DE0005408116;20190318;465300;1
;6065586;AU000000ANZ3;20190318;803834;1
;925288;GB0009252882;20190318;740623;1
;6086253;AU000000FMG4;20190318;3026037;1
;6152529;NZCENE0001S6;20190318;3071542;1
;6435327;HK0006000050;20190318;2042305;1
;6563875;SG1M77906915;20190318;6831358;1
;7582556;FR0000121964;20190318;394182;1
;263494;GB0002634946;20190318;2110599;1
;B00D9P6;BE0003810273;20190318;484123;1
;B39J2M4;GB00B39J2M42;20190318;1161724;1
;6175203;SG1L01001701;20190318;711904;1
;2615468;US3453708600;20190318;1549992;1
;2831811;US00206R1023;20190318;421033;1
;4813345;SE0000148884;20190318;1242828;1
;6585084;AU000000SUN6;20190318;1369762;1
;B28XP76;BMG491BT1088;20190318;638743;1
;B083BH4;CH0008038389;20190318;147912;1
;4103596;PTEDP0AM0009;20190318;3333287;1
;6435576;HK0004000045;20190318;4223275;1
;4617859;DE0005552004;20190318;374806;1
;5705946;ES0113900J37;20190318;2490759;1
;2692632;US02209S1033;20190318;214352;1
;B1G1854;JP3711200000;20190318;436401;1
;B04PZ72;SG1Q52922370;20190318;8450032;1
;2345022;US55616P1049;20190318;502331;1
;2697701;CA7392391016;20190318;525834;1
;6474535;JP3726800000;20190318;458690;1
;4056719;IT0000062072;20190318;620159;1
;6420129;SG1M51904654;20190318;6527671;1
;6087289;AU000000TLS2;20190318;4826893;1
;B1VQ5C0;SG1U68934629;20190318;2446364;1
;6916781;SG1M31001969;20190318;592496;1
;5579550;FI0009007132;20190318;491785;1
;B58JVZ5;IE00B58JVZ52;20190318;230151;1
;7251470;IT0003153415;20190318;2145833;1
;5983816;CH0011075394;20190318;31735;1
;6633767;HK0017000149;20190318;6588203;1
;7745638;FR0000064578;20190318;100034;1
;2170525;CA1360691010;20190318;123530;1
;6568353;BMG668971101;20190318;4735850;1
;B545MG5;CH0126881561;20190318;104094;1
;B70DWB2;AU000000SYD9;20190318;1952408;1
;B15C557;FR0000120271;20190318;171730;1
;6810429;HK0083000502;20190318;5391372;1
;2680905;US69351T1060;20190318;307366;1
;2076281;CA0641491075;20190318;181836;1
;B012899;SG1P66918738;20190318;5504383;1
;2492519;CA56501R1064;20190318;559435;1
;6242260;SG1B51001017;20190318;392719;1
;5231485;DE0008404005;20190318;41975;1
;2829601;US8425871071;20190318;183820;1
;5294121;DE0008430026;20190318;38549;1
;BYR0914;US96145D1054;20190318;243228;1
;2801836;CA82028K2002;20190318;442369;1
;2655408;US6745991058;20190318;137869;1
;2041364;US91913Y1001;20190318;105248;1
;2005973;US4592001014;20190318;64544;1
;B3SPXZ3;NL0009434992;20190318;103180;1
;5533976;CH0008742519;20190318;18274;1
;B1LB9P6;FR0010411983;20190318;194318;1
;B1F76F9;US9598021098;20190318;485643;1
;2077303;CA6330671034;20190318;187248;1
;6097017;HK0002007356;20190318;752477;1
;5543986;FR0000120222;20190318;372819;1
;2566124;CA8667961053;20190318;219042;1
;2465254;US4601461035;20190318;182898;1
;2090571;US92343V1044;20190318;144515;1
;2803014;US74251V1026;20190318;157693;1
;2819118;US7443201022;20190318;85212;1
