,Date,Index_Symbol,Index_Name,Index_Type,Index_Currency,Index_Close,Index_Component_Count,Index_Mcap_Units,Index_Divisor,Internal_Number,ISIN,SEDOL,RIC,CUSIP,Instrument_Name,Country,Currency,Exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor,check,Close_unadjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight,Cutoff,ADTV_3M_EUR,ADTV_Cap_Screen,Liquidity_Test,New_Weight,New_Weight_Sum,New_Mcap
16,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,37178,GB0009252882,925288,GSK.L,,GLAXOSMITHKLINE,GB,GBP,LSE,4577,,,1,747149,,15.126,1.1660449,11301376,13177912,0.0129935,2/28/2019,150274406.7,375686016.8,PASS,0.013063,1,13248185.8
17,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,608625,AU000000FMG4,6086253,FMG.AX,,Fortescue Metals Group Ltd.,AU,AUD,ASX,1757,,,1,3052699,,6.83,0.6261938,20849934,13056100,0.0128734,2/28/2019,60459566.23,151148915.6,PASS,0.012942,1,13125731.72
18,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,615252,NZCENE0001S6,6152529,CEN.NZ,,Contact Energy Ltd.,NZ,NZD,NZX,7537,,,1,3295334,,6.47,0.6045769,21320811,12890070,0.0127097,2/28/2019,4805873.633,12014684.08,PASS,0.012015,1,12185187.73
19,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,643532,HK0006000050,6435327,0006.HK,,POWER ASSETS HOLDINGS LTD,HK,HKD,Hong Kong Stock Exchange,7535,,,1,2060304,,55.15,0.1123608,113625766,12767082,0.0125884,2/28/2019,29137248.22,72843120.55,PASS,0.012656,1,12835145.43
20,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,656387,SG1M77906915,6563875,AEMN.SI,,Ascendas Real Estate Investmen,SG,SGD,Singapore Exchange,8671,,,1,6891565,,2.83,0.6524436,19503129,12724692,0.0125466,2/28/2019,20916527.91,52291319.78,PASS,0.012614,1,12792526.1
21,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,556582,FR0000121964,7582556,LOIM.PA,,KLEPIERRE,FR,EUR,EURONEXT (FR),8672,,,1,397655,,31.28,1,12438648,12438648,0.0122646,2/28/2019,20658481.5,51646203.75,PASS,0.012330,1,12504998.62
22,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,12715,GB0002634946,263494,BAES.L,,BAE SYSTEMS,GB,GBP,LSE,2717,,,1,2129195,,4.863,1.1660449,10354275,12073550,0.0119046,2/28/2019,43744742.17,109361855.4,PASS,0.011968,1,12137942.25
23,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,B00D9P,BE0003810273,B00D9P6,PROX.BR,,PROXIMUS,BE,EUR,EURONEXT (BE),6535,,,1,488390,,24.57,1,11999742,11999742,0.0118318,2/28/2019,15196666.55,37991666.38,PASS,0.011895,1,12063715.3
24,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,64623,GB00B39J2M42,B39J2M4,UU.L,,UNITED UTILITIES GRP,GB,GBP,LSE,7577,,,1,1171964,,8.696,1.1660449,10191399,11883629,0.0117173,2/28/2019,18358067.55,45895168.88,PASS,0.011780,1,11946970.98
25,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,626551,SG1L01001701,6175203,DBSM.SI,,DBS Group Holdings Ltd.,SG,SGD,Singapore Exchange,8355,,,1,718175,,25.24,0.6524436,18126737,11826674,0.0116612,2/28/2019,60398565.9,150996414.8,PASS,0.011723,1,11889771.36
