,Date,Index_Symbol,Index_Name,Index_Type,Index_Currency,Index_Close,Index_Component_Count,Index_Mcap_Units,Index_Divisor,Internal_Number,ISIN,SEDOL,RIC,CUSIP,Instrument_Name,Country,Currency,Exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor,Close_unadjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight,Cutoff,ADTV_3M_EUR,ADTV_Cap_Screen,Liquidity_Test,New_Weight,New_Weight_Sum,New_Mcap,New_Weightfactor
13,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,491134,FR0013326246,BFYM460,URW.AS,,UNIBAIL-RODAMCO-WESTFIELD,FR,EUR,EURONEXT (NL),8672,,,1,90960,149.9,1.0,13634904,13634904,0.0134441,2019-02-28,162476867.7,406192169.25,PASS,0.013515811458342263,1.0,13707618.015048314,90166
14,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,738006,DE0005408116,7380062,ARLG.DE,,AAREAL BANK,DE,EUR,XETRA (DE),8779,,,1,469399,28.61,1.0,13429505,13429505,0.0132416,2019-02-28,8015456.972,20038642.43,PASS,0.0133122313138689,1.0,13501148.809370931,465300
15,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,606558,AU000000ANZ3,6065586,ANZ.AX,,Australia & New Zealand Bankin,AU,AUD,ASX,8355,,,1,810916,26.41,0.6261938,21416292,13410749,0.013223100000000002,2019-02-28,95713981.97,239284954.925,PASS,0.013293632634003436,1.0,13482286.190580655,803834
16,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,37178,GB0009252882,925288,GSK.L,,GLAXOSMITHKLINE,GB,GBP,LSE,4577,,,1,747149,15.126,1.1660449,11301376,13177912,0.0129935,2019-02-28,150274406.7,375686016.75,PASS,0.01306280793686228,1.0,13248185.797378052,740623
17,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,608625,AU000000FMG4,6086253,FMG.AX,,Fortescue Metals Group Ltd.,AU,AUD,ASX,1757,,,1,3052699,6.83,0.6261938,20849934,13056100,0.0128734,2019-02-28,60459566.23,151148915.575,PASS,0.012942067317843758,1.0,13125731.71539359,3026037
18,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,615252,NZCENE0001S6,6152529,CEN.NZ,,Contact Energy Ltd.,NZ,NZD,NZX,7537,,,1,3295334,6.47,0.6045769,21320811,12890070,0.012709699999999999,2019-02-28,4805873.633,12014684.083,PASS,0.012014684083,1.0,12185187.732815923,3071542
19,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,643532,HK0006000050,6435327,0006.HK,,POWER ASSETS HOLDINGS LTD,HK,HKD,Hong Kong Stock Exchange,7535,,,1,2060304,55.15,0.1123608,113625766,12767082,0.0125884,2019-02-28,29137248.22,72843120.55,PASS,0.01265554711451088,1.0,12835145.42592172,2042305
20,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,656387,SG1M77906915,6563875,AEMN.SI,,Ascendas Real Estate Investmen,SG,SGD,Singapore Exchange,8671,,,1,6891565,2.83,0.6524436,19503129,12724692,0.012546600000000002,2019-02-28,20916527.91,52291319.775,PASS,0.012613524151355393,1.0,12792526.103465846,6831358
21,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,556582,FR0000121964,7582556,LOIM.PA,,KLEPIERRE,FR,EUR,EURONEXT (FR),8672,,,1,397655,31.28,1.0,12438648,12438648,0.0122646,2019-02-28,20658481.5,51646203.75,PASS,0.012330019950162861,1.0,12504998.617041048,394182
22,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,12715,GB0002634946,263494,BAES.L,,BAE SYSTEMS,GB,GBP,LSE,2717,,,1,2129195,4.863,1.1660449,10354275,12073550,0.011904600000000001,2019-02-28,43744742.17,109361855.425,PASS,0.011968099693321332,1.0,12137942.251392372,2110599
