,Date,Index_Symbol,Index_Name,Index_Type,Index_Currency,Index_Close,Index_Component_Count,Index_Mcap_Units,Index_Divisor,Internal_Number,ISIN,SEDOL,RIC,CUSIP,Instrument_Name,Country,Currency,Exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor,Close_unadjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight,Cutoff,ADTV_3M_EUR,ADTV_Cap_Screen,Liquidity_Test,New_Weight,New_Weight_Sum,New_Weightfactor
15,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,478165,CH0126881561,B545MG5,SRENH.VX,,SWISS REINSURANCE COMPANY,CH,CHF,,8538.0,,,1.0,159078.0,94.65,0.9464769,15056733.0,14250850.0,0.0142114,2015-02-27,119139598.75,297848996.875,PASS,0.014363567318010178,1.0,160336
16,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,688167,HK0000139300,B87ZDH1,0511.HK,,Television Broadcasts Ltd.,HK,HKD,Hong Kong Stock Exchange,5553.0,,,1.0,2452662.0,48.45,0.118008,118831474.0,14023065.0,0.0139843,2015-02-27,2902599.89,7256499.725,PASS,0.007256499725,1.0,1269176
17,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,B00LBS,BMG196F11004,B00LBS7,CGL.L,,CATLIN GRP,GB,GBP,LSE,8536.0,,,1.0,1360015.0,7.1,1.3666805,9656107.0,13196812.0,0.0131603,2015-02-27,19078178.88,47695447.2,PASS,0.013301212757026707,1.0,1370774
18,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,073655,GB0007365546,0736554,CLLN.L,,CARILLION,GB,GBP,LSE,2791.0,,,1.0,2819251.0,3.311,1.3666805,9334540.0,12757334.0,0.012722,2015-02-27,7676116.28,19190290.7,PASS,0.012858219698251086,1.0,2841546
19,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,B04PZ7,SG1Q52922370,B04PZ72,SUNT.SI,,Suntec Real Estate Investment,SG,SGD,Singapore Exchange,8671.0,,,1.0,10115980.0,1.875,0.6694562,18967463.0,12697886.0,0.0126628,2015-02-27,9079774.12,22699435.3,PASS,0.012798385819447717,1.0,10196045
20,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,663376,HK0017000149,6633767,0017.HK,,New World Development Co. Ltd.,HK,HKD,Hong Kong Stock Exchange,8633.0,,,1.0,11923571.0,8.82,0.118008,105165896.0,12410418.0,0.012376100000000001,2015-02-27,17241878.09,43104695.225,PASS,0.012508616004364507,1.0,12017918
21,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,594176,CH0008038389,B083BH4,SPSN.S,,SWISS PRIME SITE,CH,CHF,SIX Swiss Exchange,8633.0,,,1.0,150160.0,86.3,0.9464769,12958808.0,12265212.0,0.0122313,2015-02-27,14231327.23,35578318.075,PASS,0.012362265571075184,1.0,151348
22,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,098952,GB0009895292,0989529,AZN.L,,ASTRAZENECA,GB,GBP,LSE,4577.0,,,1.0,180815.0,48.4,1.3666805,8751446.0,11960431.0,0.0119273,2015-02-27,143846545.39,359616363.475,PASS,0.012055010517760586,1.0,182245
23,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,725147,IT0003153415,7251470,SRG.MI,,SNAM RETE GAS,IT,EUR,Milan,7573.0,,,1.0,2530035.0,4.572,1.0,11567320.0,11567320.0,0.0115353,2015-02-27,44653678.29,111634195.725,PASS,0.011658813212170709,1.0,2550047
24,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,681075,SG1T75931496,B02PY22,STEL.SI,,Singapore Telecommunications L,SG,SGD,Singapore Exchange,6575.0,,,1.0,3991304.0,4.28,0.6694562,17082781.0,11436174.0,0.0114045,2015-02-27,48099228.98,120248072.45,PASS,0.011526612682652452,1.0,4022868
