STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
;;US92343V1044;20200323;170605;1
;;CH0126881561;20200323;151139;1
;;CA0636711016;20200323;219613;1
;;US91913Y1001;20200323;258848;1
;;HK0002007356;20200323;998010;1
;;US7170811035;20200323;291314;1
;;SG1U68934629;20200323;2372720;1
;;US15189T1079;20200323;651647;1
;;CA56501R1064;20200323;880801;1
;;CA7800871021;20200323;157363;1
;;US2003401070;20200323;284332;1
;;US74251V1026;20200323;313230;1
;;US69351T1060;20200323;399441;1
;;US37045V1008;20200323;415909;1
;;US3703341046;20200323;153849;1
;;AU000000SYD9;20200323;2532370;1
;;US1746101054;20200323;445422;1
;;FR0000064578;20200323;129249;1
;;US9598021098;20200323;373726;1
;;US56585A1025;20200323;411014;1
;;US9290421091;20200323;222092;1
;;CA6330671034;20200323;247367;1
;;US8425871071;20200323;151382;1
;;US26441C2044;20200323;98495;1
;;SG1M77906915;20200323;4023127;1
;;CA8667961053;20200323;250818;1
;;US7445731067;20200323;164747;1
;;US2333311072;20200323;76495;1
;;CA7751092007;20200323;179164;1
;;US2091151041;20200323;89096;1
;;US40434L1052;20200323;372299;1
;;AU000000SGP0;20200323;4430979;1
;;AU000000FMG4;20210322;2030386;1
;;AU000000HVN7;20210322;5603383;1
;;GB0009252882;20210322;1224887;1
;;HK0006000050;20210322;3616297;1
;;AU000000JBH7;20210322;532209;1
;;GB0005603997;20210322;5412246;1
;;GB0007908733;20210322;1003666;1
;;GB00B06QFB75;20210322;1493167;1
;;JP3726800000;20210322;930562;1
;;FR0000133308;20210322;1415051;1
;;BE0003810273;20210322;811017;1
;;NL0010773842;20210322;344172;1
;;NZCENE0001S6;20210322;3386088;1
;;HK0000608585;20210322;3177760;1
;;SG1Q52922370;20210322;14036068;1
;;JP3752900005;20210322;1553163;1
;;US69351T1060;20210322;521617;1
;;JP3768600003;20210322;996468;1
;;HK0083000502;20210322;10274625;1
;;CA7392391016;20210322;541337;1
;;SG1T75931496;20210322;8161660;1
;;IT0003153415;20210322;2549854;1
;;IT0003497176;20210322;25290317;1
;;JP3890350006;20210322;352373;1
;;SG1M77906915;20210322;5998395;1
;;SG1M51904654;20210322;8374744;1
;;JP3117700009;20210322;5154337;1
;;HK0002007356;20210322;1385094;1
;;JP3500610005;20210322;2941666;1
;;JP3885780001;20210322;832566;1
;;AU000000EVN4;20210322;3893051;1
;;BE0974264930;20210322;215429;1
;;US4592001014;20210322;96557;1
;;IT0003796171;20210322;1004284;1
;;JP3902900004;20210322;2088381;1
;;CH0012214059;20210322;218538;1
;;KYG6382M1096;20210322;8471040;1
;;FI0009007132;20210322;458795;1
;;DE000A0LD2U1;20210322;730608;1
;;CA1360691010;20210322;121081;1
;;SE0005190238;20210322;918698;1
;;JP3898400001;20210322;393006;1
;;JP3499800005;20210322;1831820;1
;;FR0000064578;20210322;138714;1
;;KYG9828G1082;20210322;3523680;1
;;CA0641491075;20210322;184229;1
;;CH0011075394;20210322;26499;1
;;LU0775917882;20210322;440557;1
;;DE0005190037;20210322;143258;1
;;DE0008303504;20210322;383085;1
;;DE0008404005;20210322;44254;1
;;US2091151041;20210322;151445;1
;;AU000000SUN6;20210322;1411127;1
;;US7170811035;20210322;300511;1
;;CA56501R1064;20210322;490863;1
;;SG1L01001701;20210322;494937;1
;;AT0000743059;20210322;204913;1
;;US26441C2044;20210322;111356;1
;;US92343V1044;20210322;183098;1
;;US29364G1031;20210322;105004;1
;;US8425871071;20210322;170491;1
;;SG1M31001969;20210322;534903;1
;;CA8911605092;20210322;152013;1
;;CA0636711016;20210322;112058;1
;;AU000000BEN6;20210322;1293804;1
;;CH0014852781;20210322;19826;1
;;DE000PAH0038;20210322;85677;1
;;FR0000130577;20210322;158572;1
;;CA7800871021;20210322;103440;1
;;DE000EVNK013;20210322;271198;1
;;US4601461035;20210322;171505;1
;;CA7751092007;20210322;185446;1
;;US14149Y1082;20210322;151610;1
;;NL0009434992;20210322;83315;1
;;US3703341046;20210322;142855;1
;;CA6330671034;20210322;123537;1
;;US7445731067;20210322;149459;1
;;FI0009005318;20210322;244108;1
;;US74251V1026;20210322;145094;1
;;CA8667961053;20210322;167741;1
;;US8168511090;20210322;66940;1
;;US4461501045;20210322;536675;1
;;US2333311072;20210322;65573;1
;;IE00B58JVZ52;20210322;106085;1
;;US31620R3030;20210322;205453;1
;;US1746101054;20210322;180185;1
;;AU000000NAB4;20210322;383937;1
;;US4932671088;20210322;389940;1
;;US9029733048;20210322;141031;1
;;US8326964058;20210322;59856;1
;;US2058871029;20210322;198896;1
;;IT0000062072;20210322;379600;1
;;US0311621009;20210322;30319;1
;;US5398301094;20210322;20757;1
